FIPS,Type Number,County with comma,County,ACP Type,Link,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),state,state_po,county_name,candidate,party,candidatevotes,totalvotes,ep_mobile,ep_disabl,percent_unemployed
1001,1,"Autauga,  AL",Autauga AL,Exurbs,https://www.americancommunities.org/community-type/graying-america/,856,10750,3.9,684,1.2,ALABAMA,AL,AUTAUGA,DONALD TRUMP,REPUBLICAN,18172,24973,18,18.4,3.629078861
1003,2,"Baldwin,  AL",Baldwin AL,Graying America,https://www.americancommunities.org/community-type/graying-america/,5697,69203,4.2,621,-0.3,ALABAMA,AL,BALDWIN,DONALD TRUMP,REPUBLICAN,72883,95215,11.9,13.9,3.615382156
1005,3,"Barbour,  AL",Barbour AL,African American South,https://www.americancommunities.org/community-type/african-american-south/,549,7952,-3.6,658,0.9,ALABAMA,AL,BARBOUR,DONALD TRUMP,REPUBLICAN,5454,10469,29.9,21.5,5.171384211
1007,4,"Bibb,  AL",Bibb AL,Evangelical Hubs,https://www.americancommunities.org/community-type/evangelical-hubs/,339,4175,2.9,720,6.7,ALABAMA,AL,BIBB,DONALD TRUMP,REPUBLICAN,6738,8819,28.4,14.8,3.971827734
1009,4,"Blount,  AL",Blount AL,Evangelical Hubs,https://www.americancommunities.org/community-type/evangelical-hubs/,745,8112,1.5,620,1,ALABAMA,AL,BLOUNT,DONALD TRUMP,REPUBLICAN,22859,25588,22.9,14.9,3.511157322
1011,3,"Bullock,  AL",Bullock AL,African American South,https://www.americancommunities.org/community-type/african-american-south/,144,2957,-0.3,588,2.1,ALABAMA,AL,BULLOCK,HILLARY CLINTON,DEMOCRAT,3530,4710,33.3,17.6,4.690117253
1013,3,"Butler,  AL",Butler AL,African American South,https://www.americancommunities.org/community-type/african-american-south/,483,6947,0.9,605,2.2,ALABAMA,AL,BUTLER,DONALD TRUMP,REPUBLICAN,4901,8732,25.2,19.4,4.790217635
1015,4,"Calhoun,  AL",Calhoun AL,Evangelical Hubs,https://www.americancommunities.org/community-type/evangelical-hubs/,2488,43685,0.1,701,3.9,ALABAMA,AL,CALHOUN,DONALD TRUMP,REPUBLICAN,32865,47864,14.7,20.4,4.652832159
1017,3,"Chambers,  AL",Chambers AL,African American South,https://www.americancommunities.org/community-type/african-american-south/,597,7982,-0.2,650,1.9,ALABAMA,AL,CHAMBERS,DONALD TRUMP,REPUBLICAN,7843,13900,15.9,17.7,3.908091123
1019,5,"Cherokee,  AL",Cherokee AL,Working Class Country,https://www.americancommunities.org/community-type/working-class-country/,406,5070,-1,612,1,ALABAMA,AL,CHEROKEE,DONALD TRUMP,REPUBLICAN,8953,10733,27.1,21.4,3.570813974
1021,4,"Chilton,  AL",Chilton AL,Evangelical Hubs,https://www.americancommunities.org/community-type/evangelical-hubs/,751,9247,0.7,629,0.8,ALABAMA,AL,CHILTON,DONALD TRUMP,REPUBLICAN,15081,18369,32,16.9,3.609570754
1023,3,"Choctaw,  AL",Choctaw AL,African American South,https://www.americancommunities.org/community-type/african-american-south/,282,3324,-1.3,872,-2.7,ALABAMA,AL,CHOCTAW,DONALD TRUMP,REPUBLICAN,4106,7292,31.6,26.3,5.53898594
1025,3,"Clarke,  AL",Clarke AL,African American South,https://www.americancommunities.org/community-type/african-american-south/,657,8171,-2.8,690,0.1,ALABAMA,AL,CLARKE,DONALD TRUMP,REPUBLICAN,7140,13031,27.3,15.8,7.473449587
1027,4,"Clay,  AL",Clay AL,Evangelical Hubs,https://www.americancommunities.org/community-type/evangelical-hubs/,210,3900,1.1,613,3.5,ALABAMA,AL,CLAY,DONALD TRUMP,REPUBLICAN,5245,6624,24,16.4,3.907429146
1029,4,"Cleburne,  AL",Cleburne AL,Evangelical Hubs,https://www.americancommunities.org/community-type/evangelical-hubs/,210,2237,3,755,0.1,ALABAMA,AL,CLEBURNE,DONALD TRUMP,REPUBLICAN,5764,6593,27.6,22,4.248650531
1031,6,"Coffee,  AL",Coffee AL,Military Posts,https://www.americancommunities.org/community-type/military-posts/,1061,15046,-0.4,609,1.3,ALABAMA,AL,COFFEE,DONALD TRUMP,REPUBLICAN,15875,20767,12.5,18.2,3.948695778
1033,4,"Colbert,  AL",Colbert AL,Evangelical Hubs,https://www.americancommunities.org/community-type/evangelical-hubs/,1275,23935,1.5,762,-2.1,ALABAMA,AL,COLBERT,DONALD TRUMP,REPUBLICAN,16746,24915,9.5,19.6,4.61776593
1035,3,"Conecuh,  AL",Conecuh AL,African American South,https://www.americancommunities.org/community-type/african-american-south/,252,3409,-4.2,625,3.3,ALABAMA,AL,CONECUH,DONALD TRUMP,REPUBLICAN,3420,6585,30.2,21.4,5.229194482
1037,3,"Coosa,  AL",Coosa AL,African American South,https://www.americancommunities.org/community-type/african-american-south/,119,1311,1.9,650,2.2,ALABAMA,AL,COOSA,DONALD TRUMP,REPUBLICAN,3381,5252,31,22.3,4.18190128
1039,4,"Covington,  AL",Covington AL,Evangelical Hubs,https://www.americancommunities.org/community-type/evangelical-hubs/,895,12130,0.3,623,2,ALABAMA,AL,COVINGTON,DONALD TRUMP,REPUBLICAN,13267,15940,18.7,21.1,4.578344112
1041,4,"Crenshaw,  AL",Crenshaw AL,Evangelical Hubs,https://www.americancommunities.org/community-type/evangelical-hubs/,258,3900,3.4,643,2.2,ALABAMA,AL,CRENSHAW,DONALD TRUMP,REPUBLICAN,4513,6267,27.9,19.5,4.080660527
1043,4,"Cullman,  AL",Cullman AL,Evangelical Hubs,https://www.americancommunities.org/community-type/evangelical-hubs/,1782,28622,5.6,677,0.7,ALABAMA,AL,CULLMAN,DONALD TRUMP,REPUBLICAN,32989,37873,21.5,15.7,3.280465239
1045,6,"Dale,  AL",Dale AL,Military Posts,https://www.americancommunities.org/community-type/military-posts/,864,16742,2.7,982,6.2,ALABAMA,AL,DALE,DONALD TRUMP,REPUBLICAN,13808,18749,17.6,21,4.204771372
1047,3,"Dallas,  AL",Dallas AL,African American South,https://www.americancommunities.org/community-type/african-american-south/,852,12738,-0.8,673,2,ALABAMA,AL,DALLAS,HILLARY CLINTON,DEMOCRAT,12836,18792,20.6,18,6.547779273
1049,4,"DeKalb,  AL",DeKalb AL,Evangelical Hubs,https://www.americancommunities.org/community-type/evangelical-hubs/,1146,20773,0.1,627,3.5,ALABAMA,AL,DEKALB,DONALD TRUMP,REPUBLICAN,21405,25826,24,15.4,3.816920575
1051,1,"Elmore,  AL",Elmore AL,Exurbs,https://www.americancommunities.org/community-type/exurbs/,1328,19451,1.9,621,0.8,ALABAMA,AL,ELMORE,DONALD TRUMP,REPUBLICAN,27634,37260,16.8,17.4,3.447534596
1053,3,"Escambia,  AL",Escambia AL,African American South,https://www.americancommunities.org/community-type/african-american-south/,829,12802,-0.3,695,-0.6,ALABAMA,AL,ESCAMBIA,DONALD TRUMP,REPUBLICAN,9935,14845,18,20.2,4.570791527
